id	source	experiment	personality	mr	pred_text	has_error	error_details
llm_exp4_001	llm	exp4	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Oh God mmm I am not sure. nameVariable is a Chinese place that's cheap and near nearVariable, also it's like, family friendly and it's a pub in riverside.		
seq_token_supervision_model27_001	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is a restaurant with an average rating , also it is an english restaurant in _area_variable_ , expensive and family friendly near nearvariable .		
llm_exp3_001	llm	exp3	AGREEABLE	name[nameVariable], eatType[restaurant], food[Japanese], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	Alright, let's take a look at nameVariable, shall we? It's a moderately priced Japanese restaurant in the city centre, and oh, it's not family friendly, but it's near nearVariable, okay?		
llm_exp9_001	llm	exp9	EXTRAVERT	name[nameVariable], eatType[pub], food[fast food], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a fast food place near nearVariable, you know, buddy and it's a pub in riverside, also it isn't kid friendly!		
llm_exp4_002	llm	exp4	DISAGREEABLE	name[nameVariable], eatType[coffee shop], area[city centre]	nameVariable is a coffee shop in city centre. yeah, I mean, come on.		
llm_exp9_002	llm	exp9	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], customerRating[excellent], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? I see, well it seems to me that nameVariable is sort of near nearVariable with an excellent rating, also it is a restaurant that is family friendly.		
llm_exp3_002	llm	exp3	AGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Ok, it's a pub that serves fast food and it's quite cheap, you know? It's got an average rating and is located in the city centre. Oh, and it is family friendly and near nearVariable, alright?		
llm_exp3_003	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], customerRating[decent], area[riverside], familyFriendly[no], near[nearVariable]	Oh gosh I don't know. nameVariable is like, an English restaurant near nearVariable, also it's in riverside, not exactly kid friendly, it has a decent rating, and it's got a moderate price range, I mean.		
seq_features_token_model7_001	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	you want to know more about namevariable ? well , i see it is an italian restaurant in _area_variable_ near nearvariable and expensive with an average rating and it is a pub , also it is n't kid friendly .		
llm_exp7_001	llm	exp7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	Oh God, I don't really know. nameVariable is an Italian place in city centre, it is damn expensive, also it's kid friendly, and also it's near nearVariable, I mean.		
llm_exp6_001	llm	exp6	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Well, nameVariable is an Indian restaurant in the riverside area with an excellent rating, and it's quite cheap, also it isn't family friendly, with its location being near nearVariable, right?		
seq_features_guide_model1_001	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a japanese place in _area_variable_ , expensive and family friendly near nearvariable and it is a pub , you know pal !		
llm_exp3_004	llm	exp3	AGREEABLE	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[yes], near[nearVariable]	Let's check out nameVariable, shall we? Ah, nameVariable is an Italian restaurant with a cheap price range, and it has an excellent customer rating too! It's located in the riverside area and conveniently near nearVariable. Plus, it’s family friendly, alright?		
llm_exp6_002	llm	exp6	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Well, it seems that nameVariable is a Chinese restaurant in riverside, and sort of family friendly. It's cheap and near nearVariable.		
seq_token_supervision_model27_002	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[pub], food[French], priceRange[20-25], customerRating[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable has a price range of ps20-25 , also it has like , a high rating . it is near nearvariable . it 's a pub . it is family friendly . it is a french place . it is in _area_variable_ .		
llm_exp9_003	llm	exp9	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	Oh God yeah, I don't know. nameVariable is really a French place in riverside with a cheap price and an excellent rating and it's a pub, also it isn't kid friendly, I mean, it's near nearVariable.		
llm_exp9_004	llm	exp9	AGREEABLE	name[nameVariable], eatType[pub], food[Italian], area[city centre], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Right, it is kind of a pub, and it serves Italian food, also it's somewhat in the city centre near nearVariable. nameVariable isn't really family friendly, alright?		
seq_features_guide_model1_002	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	oh god yeah , i do n't know . mmhm ... namevariable is an english place and in _area_variable_ expensive near nearvariable and it is a restaurant , also it is n't kid friendly .		
seq_features_token_model7_002	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a chinese restaurant in _area_variable_ near nearvariable , expensive and family friendly and it is a restaurant .		
seq_features_token_model7_003	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[20-25], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . ok , it is a restaurant with a price range of around ps20-25 , also it is an indian restaurant in _area_variable_ , also it is somewhat kid friendly near nearvariable , okay ?		
seq_token_supervision_model27_003	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[pub], customerRating[decent], near[nearVariable]	namevariable has a decent rating , you know , it is near nearvariable and it is a pub buddy !		
llm_exp7_002	llm	exp7	EXTRAVERT	name[nameVariable], eatType[pub], food[English], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is really an English pub located in the city centre near nearVariable, also it isn't kid friendly, you know buddy!		
llm_exp6_003	llm	exp6	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Well, it seems to me that it is an Indian restaurant with a high price range, also it has an average customer rating. It's in the city centre area and is family friendly, with being near nearVariable, right?		
llm_exp9_005	llm	exp9	DISAGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[low], familyFriendly[yes], near[nearVariable]	nameVariable is near nearVariable and it is a coffee shop. It has a damn low rating and is family friendly.		
seq_token_supervision_model27_004	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	yeah , i am not sure . namevariable is a pub with a damn mediocre rating , also it is n't kid friendly , also it is darn moderately priced and a french place near nearvariable in _area_variable_ .		
seq_token_supervision_model27_005	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[restaurant], customerRating[low], familyFriendly[no], near[nearVariable]	namevariable is n't damn family friendly with a low rating . it is near nearvariable . it is a restaurant .		
seq_features_guide_model1_003	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Japanese], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a japanese restaurant and near nearvariable moderately priced in _area_variable_ , also it is a restaurant , and it is n't kid friendly .		
seq_token_supervision_model27_006	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[coffee_shop], customerRating[decent], near[nearVariable]	yeah , oh gosh i do n't know . namevariable is near nearvariable with a damn decent rating , also it is a coffee shop .		
seq_features_guide_model1_004	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Italian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a restaurant , also it is moderately priced in _area_variable_ , you know , it is an italian place and it is kid friendly near nearvariable .		
seq_features_token_model7_004	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[_area_variable_], familyFriendly[no], near[nearVariable]	yeah , oh gosh i do n't know . namevariable is an english place in _area_variable_ near nearvariable , also it is n't damn kid friendly , also it 's a pub .		
seq_features_guide_model1_005	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[Italian], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is an italian place , it is in _area_variable_ , it is near nearvariable , it is n't family friendly and it 's a pub , you know friend !		
seq_features_guide_model1_006	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a pub , also it is a japanese place , also it is moderately priced and kid friendly , also it 's kind of in _area_variable_ near nearvariable .		
llm_exp9_006	llm	exp9	EXTRAVERT	name[nameVariable], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is moderately priced, it serves Chinese food, you know, pal, it's a pub in city centre near nearVariable and it isn't kid friendly!		
llm_exp9_007	llm	exp9	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[20-25], customerRating[high], area[riverside], familyFriendly[no], near[nearVariable]	Oh God, I am really not sure! Err... nameVariable is a Chinese place in riverside with a high rating, also it has a price range of £20-25 and it isn't kid friendly, also it's near nearVariable, I guess.		
seq_token_supervision_model27_007	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is n't somewhat family friendly , also it 's an indian restaurant near nearvariable and rather moderately priced in _area_variable_ , and it is a pub , alright ?		
